question	answer	class
The Wadomo tribe in Zimbabwe have what physical oddity	South China	0
The Wadomo tribe in Zimbabwe have what physical oddity	Desire for sex	0
Long Legged Hannah and Marty's Express what pastime involved	Line Dancing	1
Long Legged Hannah and Marty's Express what pastime involved	Dew	0
Long Legged Hannah and Marty's Express what pastime involved	Rome 170 bc	0
Long Legged Hannah and Marty's Express what pastime involved	Jack Higgins	0
In WW2 what came between Sword and Gold	Juno - D Day Beaches	1
In WW2 what came between Sword and Gold	Robert Heinlein	0
In WW2 what came between Sword and Gold	None	0
In WW2 what came between Sword and Gold	Hong Kong Phooey	0
Benjamin Briggs captained what mystery ship	Marie Celeste	1
Benjamin Briggs captained what mystery ship	Tea	0
Benjamin Briggs captained what mystery ship	Desert	0
Benjamin Briggs captained what mystery ship	Camels	0
John Lowe Oct 1984 got £102000 first to do what on TV	Nine dart 501 game	1
John Lowe Oct 1984 got £102000 first to do what on TV	Sacred Objects	0
John Lowe Oct 1984 got £102000 first to do what on TV	Temple	0
John Lowe Oct 1984 got £102000 first to do what on TV	His Head	0
What was invented 1970 US Dr Buddy Lapidus marketed 1975	Odour Eaters	1
What was invented 1970 US Dr Buddy Lapidus marketed 1975	Tasmania	0
What was invented 1970 US Dr Buddy Lapidus marketed 1975	Picking their nose	0
What was invented 1970 US Dr Buddy Lapidus marketed 1975	Revelations	0
Marilyn Louis born 1922 changed her name to what star of 40s	Rhonda Fleming	1
Marilyn Louis born 1922 changed her name to what star of 40s	Peru	0
Marilyn Louis born 1922 changed her name to what star of 40s	Horseshoe	0
Marilyn Louis born 1922 changed her name to what star of 40s	New Zealand	0
A menial working class in Old Japan and Greek letter what word	Eta	1
A menial working class in Old Japan and Greek letter what word	Being in crowds	0
A menial working class in Old Japan and Greek letter what word	Ships compass	0
A menial working class in Old Japan and Greek letter what word	Gregory 9th	0
Phil Collins played what character on the London stage 1960s	Artful Dodger	1
Phil Collins played what character on the London stage 1960s	Pulsars	0
Phil Collins played what character on the London stage 1960s	Skunk	0
Phil Collins played what character on the London stage 1960s	The Byrds	0
On the Omen series Damien was the devil - what second name	Thorne	1
On the Omen series Damien was the devil - what second name	Bees must have one	0
On the Omen series Damien was the devil - what second name	Penis dildo with balls	0
On the Omen series Damien was the devil - what second name	Fibreglass	0
What was RJ Mitchell's contribution to WW2	Designed the Spitfire	1
What was RJ Mitchell's contribution to WW2	Marmite	0
What was RJ Mitchell's contribution to WW2	A body part	0
What was RJ Mitchell's contribution to WW2	Whos Who	0
What characters first appeared in Entertaining Young Gussie 	Jeeves and Wooster	1
What characters first appeared in Entertaining Young Gussie 	Gas pressure	0
What characters first appeared in Entertaining Young Gussie 	Burps	0
What characters first appeared in Entertaining Young Gussie 	Orbiting satellites	0
Omolagnia is sexual arousal from what	Nudity	1
Omolagnia is sexual arousal from what	Desire for sex	0
Omolagnia is sexual arousal from what	Witchcraft	0
Omolagnia is sexual arousal from what	Ten Pin Bowling	0
Fabled creature Head Man Body Lion Tail Scorpion Pork quills	Manticore	1
Fabled creature Head Man Body Lion Tail Scorpion Pork quills	Playboy Magazine	0
Fabled creature Head Man Body Lion Tail Scorpion Pork quills	Osso Bucco	0
Fabled creature Head Man Body Lion Tail Scorpion Pork quills	Sow	0
French German Italian 3 official languages Switzerland what 4th	Romansch	1
French German Italian 3 official languages Switzerland what 4th	Hero	0
French German Italian 3 official languages Switzerland what 4th	Forty	0
French German Italian 3 official languages Switzerland what 4th	Laxative	0
Graham McPherson changed his name to what 	Suggs from Madness	1
Graham McPherson changed his name to what 	Take her Shopping	0
Graham McPherson changed his name to what 	Samuel Pickwick	0
Graham McPherson changed his name to what 	Wilber Smith	0
1910 act illegal to transport woman state line immoral purposes	Mann Act 	1
1910 act illegal to transport woman state line immoral purposes	Dog	0
1910 act illegal to transport woman state line immoral purposes	Languages	0
1910 act illegal to transport woman state line immoral purposes	Kryptonopolis	0
Paris born Philippe Pages changed his name to what	Richard Clayderman	1
Paris born Philippe Pages changed his name to what	Latex	0
Paris born Philippe Pages changed his name to what	Halibut	0
Paris born Philippe Pages changed his name to what	Cuba	0
In Brainard Minnesota every man must do what by law	Grow a Beard	1
In Brainard Minnesota every man must do what by law	Maid of the Mist	0
In Brainard Minnesota every man must do what by law	Sumo wrestling	0
In Brainard Minnesota every man must do what by law	Scarlet Pimpernel	0
Richard Attenbourough what character in The Great Escape	Bartlett	1
Richard Attenbourough what character in The Great Escape	Fish	0
Richard Attenbourough what character in The Great Escape	Pears	0
Richard Attenbourough what character in The Great Escape	Paul Newman	0
What was superhero Green Lantern vulnerable to	Anything Yellow	1
What was superhero Green Lantern vulnerable to	Greek Mythology	0
What was superhero Green Lantern vulnerable to	The most wealthy	0
What was superhero Green Lantern vulnerable to	Prophets	0
What was The Liberty Bell manufactured 1900s Charles Fey	Fruit Machine	1
What was The Liberty Bell manufactured 1900s Charles Fey	Reims	0
What was The Liberty Bell manufactured 1900s Charles Fey	The walkman	0
What was The Liberty Bell manufactured 1900s Charles Fey	Anchor	0
Who played Dr McCoy in the original Star Trek series	Deforest Kelly	1
Who played Dr McCoy in the original Star Trek series	Harold	0
Who played Dr McCoy in the original Star Trek series	Elbows	0
Who played Dr McCoy in the original Star Trek series	Crocodile	0
German film of the 1920s starred Max Schreck as a vampire	Nosferatu	1
German film of the 1920s starred Max Schreck as a vampire	Doctor Pepper	0
German film of the 1920s starred Max Schreck as a vampire	Ratatouille	0
German film of the 1920s starred Max Schreck as a vampire	Itching	0
A Renifleur gets aroused from doing what	Sniffing underwear	1
A Renifleur gets aroused from doing what	Egoists and liars	0
A Renifleur gets aroused from doing what	Goldfish	0
A Renifleur gets aroused from doing what	Marseilles	0
Who was the first American to receive the Nobel Literature prize	Sinclair Lewis	1
Who was the first American to receive the Nobel Literature prize	Bruges - Belgium	0
Who was the first American to receive the Nobel Literature prize	Italian Sports Cars	0
Who was the first American to receive the Nobel Literature prize	Cherries	0
Hercules had to clean the stables in one night - whose	Aegean Stables	1
Hercules had to clean the stables in one night - whose	Roger Moore	0
Hercules had to clean the stables in one night - whose	Amateur	0
Hercules had to clean the stables in one night - whose	Fred Flintstone	0
Name of the "cow town" Joseph McCoy developed in the 1860s	Abaline	1
Name of the "cow town" Joseph McCoy developed in the 1860s	Colonies of Portugal	0
Name of the "cow town" Joseph McCoy developed in the 1860s	Boxer	0
Name of the "cow town" Joseph McCoy developed in the 1860s	Melbourne Australia	0
Sting Vogue Moschino Adidas Police Wires Ice types of what	Spectacles - Glasses	1
Sting Vogue Moschino Adidas Police Wires Ice types of what	Zeus Apollo	0
Sting Vogue Moschino Adidas Police Wires Ice types of what	Edward Elgar	0
Sting Vogue Moschino Adidas Police Wires Ice types of what	Santa Clause	0
Film The Dead Heat Merry go Round 60s what stars first 1 line	Harrison Ford	1
Film The Dead Heat Merry go Round 60s what stars first 1 line	Books	0
Film The Dead Heat Merry go Round 60s what stars first 1 line	Lettuce	0
Film The Dead Heat Merry go Round 60s what stars first 1 line	Tun	0
Edgar Cuthwellis was option but the author chose another what	Lewis Carrol	1
Edgar Cuthwellis was option but the author chose another what	Burt Lancaster	0
Edgar Cuthwellis was option but the author chose another what	Safety Pin	0
Edgar Cuthwellis was option but the author chose another what	Father Mulcahy	0
Operation Chastise during WW2 better known as what	Dambusters Raid	1
Operation Chastise during WW2 better known as what	Sony	0
Operation Chastise during WW2 better known as what	Brahma	0
Operation Chastise during WW2 better known as what	K2	0
In Columbus Ohio its illegal for shops to sell what on Sundays	Cornflakes	1
In Columbus Ohio its illegal for shops to sell what on Sundays	They exploded	0
In Columbus Ohio its illegal for shops to sell what on Sundays	Lion	0
In Columbus Ohio its illegal for shops to sell what on Sundays	Fellatio - Blowjob	0
According to law what must all London Taxis always carry	Bale of hay for horse	1
According to law what must all London Taxis always carry	Elizabeth Arden	0
According to law what must all London Taxis always carry	Woody Harrelson	0
According to law what must all London Taxis always carry	Barbed Wire	0
Anreas Cornelis van Kujik was who’s manager	Elvis Col Tom Parker	1
Anreas Cornelis van Kujik was who’s manager	Houses	0
Anreas Cornelis van Kujik was who’s manager	Lord of the Rings	0
Anreas Cornelis van Kujik was who’s manager	Blanche Dubois	0
What was unique about all the mens foil winners 1952 Olympics	All Left Handed	1
What was unique about all the mens foil winners 1952 Olympics	TV remote control	0
What was unique about all the mens foil winners 1952 Olympics	Roo	0
What was unique about all the mens foil winners 1952 Olympics	Cornflakes	0
Maryland No1 Montana No 1 Minnesota No 3 types of what 	Pigs American Breeds	1
Maryland No1 Montana No 1 Minnesota No 3 types of what 	Beech	0
Maryland No1 Montana No 1 Minnesota No 3 types of what 	Toyota	0
Maryland No1 Montana No 1 Minnesota No 3 types of what 	1984 George Orwell	0
What aria from Madam Butterfly is a Michelle Pfeiffer 1996 film	One fine Day	1
What aria from Madam Butterfly is a Michelle Pfeiffer 1996 film	Eat it  - it’s a potato	0
What aria from Madam Butterfly is a Michelle Pfeiffer 1996 film	Jaraslav Drobny	0
What aria from Madam Butterfly is a Michelle Pfeiffer 1996 film	Mountains	0
Ei-Hajj Malik Ei-Shabazz better known as who	Malcolm X	1
Ei-Hajj Malik Ei-Shabazz better known as who	Thailand	0
Ei-Hajj Malik Ei-Shabazz better known as who	Mouse	0
Ei-Hajj Malik Ei-Shabazz better known as who	Cashew	0
What opera premiered in Paignton Devon 30th December 1879	Pirates of Penzance	1
What opera premiered in Paignton Devon 30th December 1879	Greenland	0
What opera premiered in Paignton Devon 30th December 1879	Australia	0
What opera premiered in Paignton Devon 30th December 1879	Colorado	0
Name the first space probe to land on the moon 13 Sept 1959	Luna 2	1
Name the first space probe to land on the moon 13 Sept 1959	Sergai Prokofiev	0
Name the first space probe to land on the moon 13 Sept 1959	Rhinoceros	0
Name the first space probe to land on the moon 13 Sept 1959	Zips	0
In what film did Paul Robeson sing Old Man River	Showboat	1
In what film did Paul Robeson sing Old Man River	Gothic	0
In what film did Paul Robeson sing Old Man River	Her Virginity	0
In what film did Paul Robeson sing Old Man River	On a Harp	0
In El Monte California its illegal for who/what to sleep in bathtub	Horse - unless ridden	1
In El Monte California its illegal for who/what to sleep in bathtub	Embolism	0
In El Monte California its illegal for who/what to sleep in bathtub	Snails	0
In El Monte California its illegal for who/what to sleep in bathtub	Sing	0
Who compete in the Maccabiah Games	Jewish world athletes	1
Who compete in the Maccabiah Games	A Bombsight 	0
Who compete in the Maccabiah Games	Whiter shade of pale	0
Who compete in the Maccabiah Games	MCC	0
What TV family lived at 1124 Morning Glory Circle Westport Con	Stevens in Bewitched	1
What TV family lived at 1124 Morning Glory Circle Westport Con	Argentina	0
What TV family lived at 1124 Morning Glory Circle Westport Con	Steve McQueen	0
What TV family lived at 1124 Morning Glory Circle Westport Con	Nosferatu	0
Poland has a coastline along which sea	Adriatic	1
Poland has a coastline along which sea	August	0
Poland has a coastline along which sea	Wine Regions	0
Poland has a coastline along which sea	Oxford	0
Colonel Paul W Tibbets did it first - what	Dropped Atom Bomb	1
Colonel Paul W Tibbets did it first - what	Emanuel	0
Colonel Paul W Tibbets did it first - what	Dada thus Dadaism	0
Colonel Paul W Tibbets did it first - what	Bologna	0
What fish has its head at right angles to its body	Sea Horse	1
What fish has its head at right angles to its body	Formic acid	0
What fish has its head at right angles to its body	The # symbol	0
What fish has its head at right angles to its body	Brigadier	0
What is the oldest bridge over the Seine in Paris	Pont Neuf	1
What is the oldest bridge over the Seine in Paris	Cuba	0
What is the oldest bridge over the Seine in Paris	Stay away Joe	0
What is the oldest bridge over the Seine in Paris	David	0
An Ochlophilliac gets sexually aroused from what	Being in crowds	1
An Ochlophilliac gets sexually aroused from what	Speedway	0
An Ochlophilliac gets sexually aroused from what	All have Rings	0
An Ochlophilliac gets sexually aroused from what	He invented Dynamite	0
In Oxford university what can you not take into the library by rule	Sheep	1
In Oxford university what can you not take into the library by rule	Wall Clocks	0
In Oxford university what can you not take into the library by rule	Grand Prix Racing	0
In Oxford university what can you not take into the library by rule	Big words	0
An Asian gecko and a sweet European wine what word fits both	Tokay	1
An Asian gecko and a sweet European wine what word fits both	Spiders	0
An Asian gecko and a sweet European wine what word fits both	Fruit Trees	0
An Asian gecko and a sweet European wine what word fits both	Catch 22	0
What common word comes from the French for purse or wallet	Budget	1
What common word comes from the French for purse or wallet	McDonalds	0
What common word comes from the French for purse or wallet	Susan Hayward	0
What common word comes from the French for purse or wallet	Champion - Irish	0
Daimants Sur Canape French translation of what film	Breakfast at Tiffanys	1
Daimants Sur Canape French translation of what film	Algeria	0
Daimants Sur Canape French translation of what film	Skyscraper	0
Daimants Sur Canape French translation of what film	Constellation	0
Tracy Marrow a former convict born 1958 changed name to what	Ice-T	1
Tracy Marrow a former convict born 1958 changed name to what	Sex	0
Tracy Marrow a former convict born 1958 changed name to what	Spunky	0
Tracy Marrow a former convict born 1958 changed name to what	Rachel Rachel	0
Marmolada nearly 11000 feet highest peak what mountain range	Dolomites	1
Marmolada nearly 11000 feet highest peak what mountain range	Palk Strait	0
Marmolada nearly 11000 feet highest peak what mountain range	Pentecost	0
Marmolada nearly 11000 feet highest peak what mountain range	Bison	0
Dr George Wander invented what drink in Switzerland 1860s	Ovaltine	1
Dr George Wander invented what drink in Switzerland 1860s	Flower Power	0
Dr George Wander invented what drink in Switzerland 1860s	Tutankamen	0
Dr George Wander invented what drink in Switzerland 1860s	It's magnetic	0
Broadway 59 music Ordinary Couple, Preludium, Processional	The Sound of Music	1
Broadway 59 music Ordinary Couple, Preludium, Processional	000	0
Broadway 59 music Ordinary Couple, Preludium, Processional	Son or Daughter	0
Broadway 59 music Ordinary Couple, Preludium, Processional	Fighting Bulls	0
Rhus Radicans shrub green flowers white berries common name	Poison Ivy	1
Rhus Radicans shrub green flowers white berries common name	Tall straight cook pot	0
Rhus Radicans shrub green flowers white berries common name	Wrapping Paper	0
Rhus Radicans shrub green flowers white berries common name	P theirs was Pe	0
Fulton John Short - Later John Fulton first US to do what	Qualify as Matador	1
Fulton John Short - Later John Fulton first US to do what	North Magnetic Pole	0
Fulton John Short - Later John Fulton first US to do what	Forearms	0
Fulton John Short - Later John Fulton first US to do what	New Dawn Rose	0
In Malibu California its illegal to do what in a theatre	Laugh out loud	1
In Malibu California its illegal to do what in a theatre	Bird Shit	0
In Malibu California its illegal to do what in a theatre	Greece	0
In Malibu California its illegal to do what in a theatre	Earth	0
In fiction who's mother Monique Delacroix died when he was 11	James Bond	1
In fiction who's mother Monique Delacroix died when he was 11	August Escoffier	0
In fiction who's mother Monique Delacroix died when he was 11	Henry Fonda 	0
In fiction who's mother Monique Delacroix died when he was 11	Lacrosse	0
Salvatore A Lombino used Ewan Hunter what famous pen name	Ed McBain	1
Salvatore A Lombino used Ewan Hunter what famous pen name	Stone Penis	0
Salvatore A Lombino used Ewan Hunter what famous pen name	Scarlet Pimpernel	0
Salvatore A Lombino used Ewan Hunter what famous pen name	Coffee Bean	0
What song on the Rubber Soul album became No 1 Overlanders	Michelle - 1966	1
What song on the Rubber Soul album became No 1 Overlanders	Shunt	0
What song on the Rubber Soul album became No 1 Overlanders	James	0
What song on the Rubber Soul album became No 1 Overlanders	Al Capone	0
Palindromic word means raise to the ground or a mine passage	Level	1
Palindromic word means raise to the ground or a mine passage	Lucille Ball	0
Palindromic word means raise to the ground or a mine passage	Italian	0
Palindromic word means raise to the ground or a mine passage	Rebecca	0
The Mexican bearded and what are the only venomous lizards	Gila Monster	1
The Mexican bearded and what are the only venomous lizards	Lech Walesa	0
The Mexican bearded and what are the only venomous lizards	Butcher	0
The Mexican bearded and what are the only venomous lizards	Serpent	0
Away we Go was the original 1942 title what musical show/film	Oaklahoma	1
Away we Go was the original 1942 title what musical show/film	Keith Richard	0
Away we Go was the original 1942 title what musical show/film	St Petersburg Florida	0
Away we Go was the original 1942 title what musical show/film	Lourdes	0
Gemellus is a fancy name for what	Testicles	1
Gemellus is a fancy name for what	Sierra Leone	0
Gemellus is a fancy name for what	Korean	0
Gemellus is a fancy name for what	Fasting in Ramadan	0
In Rosemead California its illegal to eat what with a fork in public	Ice Cream	1
In Rosemead California its illegal to eat what with a fork in public	Gonorrhoea	0
In Rosemead California its illegal to eat what with a fork in public	Anything Goes	0
In Rosemead California its illegal to eat what with a fork in public	Churches	0
Hierosolymitan is of Greek origin and pertains to what city	Jersualem	1
Hierosolymitan is of Greek origin and pertains to what city	Cagney and Lacey	0
Hierosolymitan is of Greek origin and pertains to what city	As ?	0
Hierosolymitan is of Greek origin and pertains to what city	The Winters Tale	0
Not Indians what links Cherokee Apache Arapaho Comanche	Piper Aircraft	1
Not Indians what links Cherokee Apache Arapaho Comanche	Brazil	0
Not Indians what links Cherokee Apache Arapaho Comanche	Isaac Asimov	0
Not Indians what links Cherokee Apache Arapaho Comanche	The bush kangaroo	0
Brilliant Bumper Bubbles Bigheart Boofuls Baby Bonny are who 	Jelly Babies	1
Brilliant Bumper Bubbles Bigheart Boofuls Baby Bonny are who 	Carry Mail	0
Brilliant Bumper Bubbles Bigheart Boofuls Baby Bonny are who 	Pinocchio	0
Brilliant Bumper Bubbles Bigheart Boofuls Baby Bonny are who 	Romania	0
E J Allen led spy team to South Civil war what name better known	Alan Pinkerton	1
E J Allen led spy team to South Civil war what name better known	Isaiah	0
E J Allen led spy team to South Civil war what name better known	Chilli	0
E J Allen led spy team to South Civil war what name better known	Norway	0
Gene Kelly Michael York Joss Ackland all played who	D'Artagan	1
Gene Kelly Michael York Joss Ackland all played who	Lord of the Flies	0
Gene Kelly Michael York Joss Ackland all played who	In Flower - blooming	0
Gene Kelly Michael York Joss Ackland all played who	Messenger	0
Who wrote The Last Frontier first published in 1959	Alistair Maclean	1
Who wrote The Last Frontier first published in 1959	Herman Goering	0
Who wrote The Last Frontier first published in 1959	An Insect	0
Who wrote The Last Frontier first published in 1959	A sexual position	0
In Mexico it is illegal for the police to sell what	Their Guns	1
In Mexico it is illegal for the police to sell what	Tiddlywinks	0
In Mexico it is illegal for the police to sell what	Priam	0
In Mexico it is illegal for the police to sell what	Eggs	0
Seen on Egyptian rivers what is a Shadoof used for	Water bucket on pole	1
Seen on Egyptian rivers what is a Shadoof used for	Beethoven's fifth	0
Seen on Egyptian rivers what is a Shadoof used for	Artificial vagina	0
Seen on Egyptian rivers what is a Shadoof used for	Tarragon	0
Old Arabic word for palm of the hand is what in modern sport	Racket	1
Old Arabic word for palm of the hand is what in modern sport	Branwell	0
Old Arabic word for palm of the hand is what in modern sport	Mata Hari	0
Old Arabic word for palm of the hand is what in modern sport	Syracuse	0
What General Motors plastic bodied car was built in Tennessee	Saturn	1
What General Motors plastic bodied car was built in Tennessee	Sunday	0
What General Motors plastic bodied car was built in Tennessee	Rice	0
What General Motors plastic bodied car was built in Tennessee	Rider Haggard	0
George W Trendle and Fran Striker created what Western hero	The Lone Ranger	1
George W Trendle and Fran Striker created what Western hero	St Denis	0
George W Trendle and Fran Striker created what Western hero	Bathe	0
George W Trendle and Fran Striker created what Western hero	Jack ( and grew a beanstalk )	0
Biblical city was the code for RAF bombings of Hamburg WW2	Gomorrah	1
Biblical city was the code for RAF bombings of Hamburg WW2	Servant	0
Biblical city was the code for RAF bombings of Hamburg WW2	Amen	0
Biblical city was the code for RAF bombings of Hamburg WW2	Elvis Presley	0
What was Vivian Leigh’s character won Oscar in her 30s	Blanche Dubois	1
What was Vivian Leigh’s character won Oscar in her 30s	Warship	0
What was Vivian Leigh’s character won Oscar in her 30s	Houses	0
What was Vivian Leigh’s character won Oscar in her 30s	Wind Speed	0
In what Italian town can you find the Piazza del Erbe	Verona	1
In what Italian town can you find the Piazza del Erbe	Lord Byron	0
In what Italian town can you find the Piazza del Erbe	Perigee	0
In what Italian town can you find the Piazza del Erbe	Possession of Crack	0
What author married Leon Trotsky’s secretary in 1924	Arthur Ransom	1
What author married Leon Trotsky’s secretary in 1924	Hedgehog	0
What author married Leon Trotsky’s secretary in 1924	The Smiths	0
What author married Leon Trotsky’s secretary in 1924	Sergeant Peppers	0
In Delaware by law a newlywed must do what if wife asks	Take her Shopping	1
In Delaware by law a newlywed must do what if wife asks	Carl Perkins	0
In Delaware by law a newlywed must do what if wife asks	Tea	0
In Delaware by law a newlywed must do what if wife asks	Honey	0
Where would you find an Orcadian	Orkney Islands	1
Where would you find an Orcadian	Glass	0
Where would you find an Orcadian	Brazil 	0
Where would you find an Orcadian	Old style dances	0
The Venice Cup is for women only playing what	Bridge	1
The Venice Cup is for women only playing what	Built on 7 Hills	0
The Venice Cup is for women only playing what	Pressure	0
The Venice Cup is for women only playing what	Sir Humphry Davie	0
What is Supergirls Kryptonian name	Kara	1
What is Supergirls Kryptonian name	Hooves	0
What is Supergirls Kryptonian name	Salem Witchcraft trial	0
What is Supergirls Kryptonian name	Imperfection	0
Who commanded Bill Jukes Cecco Noodler Skylights Starkey	Captain Hook	1
Who commanded Bill Jukes Cecco Noodler Skylights Starkey	Hero	0
Who commanded Bill Jukes Cecco Noodler Skylights Starkey	Shelly Winters	0
Who commanded Bill Jukes Cecco Noodler Skylights Starkey	Horse Racing	0
Robert Brown M Caroline Bliss Moneypenny who was Bond	Timothy Dalton	1
Robert Brown M Caroline Bliss Moneypenny who was Bond	Odo	0
Robert Brown M Caroline Bliss Moneypenny who was Bond	Biggles	0
Robert Brown M Caroline Bliss Moneypenny who was Bond	Fruit Trees	0
What countries head of state has been dead for years	North Korea - Mr Kim	1
What countries head of state has been dead for years	Monsoon	0
What countries head of state has been dead for years	The Simpsons	0
What countries head of state has been dead for years	Drum Roll	0
If you were using Highroller Snooker 7 Lukki what are you doing	Fishing artificial flies	1
If you were using Highroller Snooker 7 Lukki what are you doing	Jerry Lewis	0
If you were using Highroller Snooker 7 Lukki what are you doing	Soap	0
If you were using Highroller Snooker 7 Lukki what are you doing	Fence maker	0
 Can you see Lenny Bruce E A Poe Karl Marx H G Wells etc	Sergeant Peppers	1
 Can you see Lenny Bruce E A Poe Karl Marx H G Wells etc	The Tempest	0
 Can you see Lenny Bruce E A Poe Karl Marx H G Wells etc	Wonder Woman	0
 Can you see Lenny Bruce E A Poe Karl Marx H G Wells etc	Snorks	0
In Key West Florida what are barred from racing in city limits	Turtles	1
In Key West Florida what are barred from racing in city limits	Anthony Trollop	0
In Key West Florida what are barred from racing in city limits	Vacuum Cleaner	0
In Key West Florida what are barred from racing in city limits	A mushroom	0
Who played by Luther Adler Roy Goldman Peter Sellers etc	Adolf Hitler	1
Who played by Luther Adler Roy Goldman Peter Sellers etc	Pierre	0
Who played by Luther Adler Roy Goldman Peter Sellers etc	Mega City	0
Who played by Luther Adler Roy Goldman Peter Sellers etc	A Hairsbreadth	0
What is the SI unit of power equal to 1.341 horsepower	Kilowatt	1
What is the SI unit of power equal to 1.341 horsepower	Psycho in the shower	0
What is the SI unit of power equal to 1.341 horsepower	Coors	0
What is the SI unit of power equal to 1.341 horsepower	Bottle wire cork hold 	0
Anna Maria Louisa Italiano changed her name to what	Anne Bancroft	1
Anna Maria Louisa Italiano changed her name to what	Livestock	0
Anna Maria Louisa Italiano changed her name to what	A Moment	0
Anna Maria Louisa Italiano changed her name to what	Sean Connery	0
In Scandinavian mythology what is the day of final doom called	Ragnerok	1
In Scandinavian mythology what is the day of final doom called	Superman's Krypton	0
In Scandinavian mythology what is the day of final doom called	Paraguay	0
In Scandinavian mythology what is the day of final doom called	Howard Keel	0
His campaign slogan was vote for AuH20 whats his name	Barry Goldwater	1
His campaign slogan was vote for AuH20 whats his name	Esperanto	0
His campaign slogan was vote for AuH20 whats his name	Helen Mencken	0
His campaign slogan was vote for AuH20 whats his name	Jehovah's Witnesses	0
Paul French George E Dale pseudonyms for what SF author	Isaac Asimov	1
Paul French George E Dale pseudonyms for what SF author	Ben Hur	0
Paul French George E Dale pseudonyms for what SF author	Baron Munchhausen	0
Paul French George E Dale pseudonyms for what SF author	Perigee	0
In what country is the worlds largest pyramid	Mexico - Quetzalcoatl	1
In what country is the worlds largest pyramid	Krugerrand	0
In what country is the worlds largest pyramid	Twenty four	0
In what country is the worlds largest pyramid	Ian Fleming	0
What was/is the giant Musashi built in Japan in 1974	A Crane	1
What was/is the giant Musashi built in Japan in 1974	Iris	0
What was/is the giant Musashi built in Japan in 1974	Raspberry	0
What was/is the giant Musashi built in Japan in 1974	E A Careys Pipes	0
In sporting terms loose on left Tight on the right who is in centre	Hooker in Rugby	1
In sporting terms loose on left Tight on the right who is in centre	Jupiter	0
In sporting terms loose on left Tight on the right who is in centre	Joan	0
In sporting terms loose on left Tight on the right who is in centre	Bob Fitzsimmons	0
In Frankfort Kentucky its illegal to shot what off a policeman	His Tie	1
In Frankfort Kentucky its illegal to shot what off a policeman	Pencil	0
In Frankfort Kentucky its illegal to shot what off a policeman	Trombone	0
In Frankfort Kentucky its illegal to shot what off a policeman	Wine	0
Dybowski's Formosa and Japanese are types of what	Sika or Saki Deer	1
Dybowski's Formosa and Japanese are types of what	Mushroom	0
Dybowski's Formosa and Japanese are types of what	A Duck	0
Dybowski's Formosa and Japanese are types of what	Pearls	0
In what area of Washington does the State Dept hang out	Foggy Bottom	1
In what area of Washington does the State Dept hang out	Yoyo - from Tagalog	0
In what area of Washington does the State Dept hang out	Taking a Shower	0
In what area of Washington does the State Dept hang out	Tomato Ketchup	0
Who made his debut in a 1955 Warner Brothers cartoon	Speedy Gonzales	1
Who made his debut in a 1955 Warner Brothers cartoon	Sperm Banks	0
Who made his debut in a 1955 Warner Brothers cartoon	An Ant	0
Who made his debut in a 1955 Warner Brothers cartoon	Scaly Winged	0
What is the English title of Voyna i Mir	War and Peace	1
What is the English title of Voyna i Mir	To the teeth	0
What is the English title of Voyna i Mir	Smoky Bay	0
What is the English title of Voyna i Mir	Sweden	0
The stuff that dreams are made off - last words in what film	The Maltese Falcon	1
The stuff that dreams are made off - last words in what film	Gas Chamber used	0
The stuff that dreams are made off - last words in what film	Gila Monster	0
The stuff that dreams are made off - last words in what film	Sweden	0
Nessiteras Rhombopteryx Latinised name of what - as a Hoax	Loch Ness Monster	1
Nessiteras Rhombopteryx Latinised name of what - as a Hoax	Miriam	0
Nessiteras Rhombopteryx Latinised name of what - as a Hoax	Arabic	0
Nessiteras Rhombopteryx Latinised name of what - as a Hoax	Saint Andrew	0
In the game of Bridge what are the first six tricks won called	The Book	1
In the game of Bridge what are the first six tricks won called	Francis Scott-key	0
In the game of Bridge what are the first six tricks won called	A Bus Stop	0
In the game of Bridge what are the first six tricks won called	Stare at Him	0
Batrachophobia is a fear of what	Frogs and Toads	1
Batrachophobia is a fear of what	Sunday	0
Batrachophobia is a fear of what	Daylight saving Time	0
Batrachophobia is a fear of what	Aphrodite	0
What was the name of Alistair Macleans first best selling novel	HMS Ulysses	1
What was the name of Alistair Macleans first best selling novel	None	0
What was the name of Alistair Macleans first best selling novel	Cycling	0
What was the name of Alistair Macleans first best selling novel	Paris	0
Name the superspy man from Z.O.W.I.E. played James Coburn	Our Man Flint	1
Name the superspy man from Z.O.W.I.E. played James Coburn	On its back	0
Name the superspy man from Z.O.W.I.E. played James Coburn	Jadzea Dax	0
Name the superspy man from Z.O.W.I.E. played James Coburn	Mumps	0
In what sport would you see a Chistera	Pelota	1
In what sport would you see a Chistera	Henry	0
In what sport would you see a Chistera	London - Edinburgh	0
In what sport would you see a Chistera	Marriage or Haircut	0
In Washington its illegal to buy what on Sunday	A Mattress	1
In Washington its illegal to buy what on Sunday	Miracles	0
In Washington its illegal to buy what on Sunday	Thunderbirds	0
In Washington its illegal to buy what on Sunday	Horseshoes	0
Who wrote the  musical The Desert Song	Sigmund Romberg	1
Who wrote the  musical The Desert Song	Rheoboam	0
Who wrote the  musical The Desert Song	Nowhere	0
Who wrote the  musical The Desert Song	Italy	0
In New Zealand what is a Punga	A Fern 	1
In New Zealand what is a Punga	Ethelbert	0
